Index	Name	Position	Type	Input	Size%	Switch	KeyCut	Desc
0	Song Over	bc	Luma	4	65	True	Black	
1	Overlay Off	tr				False		
2	Song Over dark	bc	Luma	4	65	True	MP1	Song over with dark transparent panel behind. Must have grey.png in Media Player
4	Top Left DP 35%	tl	DVE	4	35	True		
5	Top Right DP 35%	tr	DVE	4	35	True		
6	Bot Left DP 35%	bl	DVE	4	35	True		
7	Bot Right DP 35%	br		4	35	True		
8	Bot Left DP 65%	bl	DVE	4	65	True		
9	Bot Right DP 65%	br	DVE	4	65	True		
10	Bot Left DP 50%	bl	DVE	4	50	True		
11	Bot Right DP 50%	br	DVE	4	50	True		
12	Top Left Cam1 35%	tl	DVE	1	35	True		
13	Top Right Cam1 35%	tr	DVE	1	35	True		
14	Bot Left Cam1 35%	bl	DVE	1	35	True		
15	Bot Right Cam1 35%	br		1	35	True		
18	ZoomInCam1	mc	DVE	1	100	True		
19	ZoomInCam2	mc	DVE	2	100	True		
20	Song Over 65%	bc	Luma	4	65	True	Black	Song over.
21	Overlay Off					False		
22	Song Over Cam4 65%	bc	Luma	4	65	True	MP1	Song over with dark transparent panel behind. Must have grey.png in Media Player
23	Song Over Cam4 60%	bc	Luma	4	60	True	MP1	Song over with dark transparent panel behind. Must have grey.png in Media Player
24	Song Over Cam4 55%	bc	Luma	4	55	True	MP1	Song over with dark transparent panel behind. Must have grey.png in Media Player
25								
26	Bot Left Cam4 65%	bl	DVE	4	65	True		
27	Bot Left Cam4 60%	bl	DVE	4	60	True		
28	Bot Left Cam4 55%	bl	DVE	4	55	True		
29	Bot Left Cam4 50%	bl	DVE	4	50	True		
30	Bot Right Cam4 55%	br	DVE	4	55	True		
31								
32	Top Left Cam1 25%	tl	DVE	1	25	True		
33	Top Right Cam1 25%	tr	DVE	1	25	True		
34	Bot Left Cam1 25%	bl	DVE	1	25	True		
35	Bot Right Cam1 25%	br	DVE	1	25	True		
36	Top Left Cam1 35%	tl	DVE	1	35	True		
37	Top Right Cam1 35%	tr	DVE	1	35	True		
38	Bot Left Cam1 35%	bl	DVE	1	35	True		
39	Bot Right Cam1 35%	br	DVE	1	35	True		
40								
41	Overlay Off					False		
42	Top Left Cam1 150%	tl	DVE	1	150	True		
43	Top Right Cam1 150%	tr	DVE	1	150	True		
44	Z Top Center Cam1 150%	tc	DVE	1	150	True		
45								
46	Top Left Cam1 150%	tl	DVE	1	150	True		
47	Top Right Cam1 150%	tr	DVE	1	150	True		
48	Z Top Center Cam1 150%	tc	DVE	1	150	True		
49								
50	MP1 DSK Overlay	mc	DSK	MP1	100	True		
51	DP over MP1	tl	DVE	4	70	True		This is for the pre-service time. The still of the WRBC logo isn on MP1 and the DP overlays when running.
